word|wordRepr|freq

.|.|1.0
,|.|1.0
?|.|1.0
!|.|1.0
:|.|1.0
-|.|1.0
@|.|1.0

[a|a|7.11
[b|b|1.14
[c|c|3.18
[d|d|3.67
[e|e|12.10
[f|f|1.11
[g|g|1.23
[h|h|1.11
[i|i|6.59
[j|j|0.34
[k|k|0.29
[l|l|4.96
[m|m|2.62
[n|n|6.39
[o|o|5.02
[p|p|2.49
[q|q|0.65
[r|r|6.07
[s|s|6.51
[t|t|5.92
[u|u|4.49
[v|v|1.11
[w|w|0.17
[x|x|0.38
[y|y|0.46
[z|z|0.15

m'|m|148890.49994420708
h|h|158.375444714434
n|n|691.1770496102661
p|p|158.375444714434
r|r|158.375444714434
a|a|91228.18106602269
abandon|abandon|164.197106837403
abandonne|abandonne|217.538439671708
abandonner|abandonner|307.948876822226
abandonné|abandonne|322.6479551736302
abandonnée|abandonnee|154.6158791946488
abattre|abattre|157.896829502079
abattu|abattu|142.31788379024354
abbé|abbe|194.2733653302
aborder|aborder|101.7899535467
abri|abri|404.646350529206
abruti|abruti|194.2517927826167
absence|absence|518.119879861794
absent|absent|167.9688216523322
absolu|absolu|179.53200450922898
absolue|absolue|134.897885746454
absolument|absolument|842.105300405022
absurde|absurde|295.1461356722669
abîme|abime|131.5676431453549
académie|academie|100.095196800899
accent|accent|281.190903686136
accepte|accepte|313.757661459978
accepter|accepter|439.545874272657
accepté|accepte|305.489748903967
accident|accident|752.155934701526
accompagnait|accompagnait|97.0524530133914
accompagne|accompagne|266.275331131086
accompagner|accompagner|258.724093602704
accompagné|accompagne|157.31827628357178
accompli|accompli|123.25603708573635
accomplir|accomplir|172.965762497746
accord|accord|4880.66956453143
accorde|accorde|158.272097821605
accorder|accorder|138.976551903519
accroche|accroche|166.03528383713754
accrocher|accrocher|136.016329856406
accroché|accroche|134.5146244136075
accueil|accueil|164.987736042634
accueillir|accueillir|155.870440325135
accusation|accusation|100.96688603321
accuse|accuse|106.082029904229
accusé|accuse|192.6114293913762
accès|acces|292.889903218318
acheter|acheter|947.732112651437
acheté|achete|556.090237368436
achever|achever|117.857142043201
achevé|acheve|102.8472756181632
achète|achete|298.982049592913
achève|acheve|107.201885048222
acide|acide|115.5428838230674
acier|acier|259.006363855832
acquis|acquis|121.61507993994931
acte|acte|412.348075750849
actes|actes|214.333263215668
acteur|acteur|252.814515269153
acteurs|acteurs|166.077342781754
action|action|674.408943254661
actions|actions|187.4851962347321
activité|activite|213.170238438267
activités|activites|129.174125366854
actrice|actrice|172.765069205944
actuellement|actuellement|154.111854703214
adieu|adieu|612.729400636611
adieux|adieux|99.4020921734862
adjoint|adjoint|115.18626995766559
adjudant|adjudant|206.627732736723
admettre|admettre|206.73814706888
administration|administration|203.491281897821
admirable|admirable|164.08161064943
admiration|admiration|201.784344382678
admire|admire|149.556015842033
admirer|admirer|132.359702589702
admis|admis|113.41407332728672
adorable|adorable|161.131009238674
adore|adore|762.409064653708
adresse|adresse|739.4197362012729
adresser|adresser|141.828900546384
adulte|adulte|199.8381019279424
adultes|adultes|197.52076664057998
adversaire|adversaire|129.228869745936
affaire|affaire|1988.6956205283927
affaires|affaires|1592.9881662265893
affection|affection|231.4887626477
affirmer|affirmer|97.7956095987424
affreuse|affreuse|112.492702366634
affreux|affreux|297.3775718067568
affronter|affronter|181.08157200658
afin de|afinde|322.502549336184
afin que|afinque|134.780052950447
agence|agence|192.06788688323195
agent|agent|632.500854929419
agents|agents|229.122837115712
agi|agi|148.291105885116
agir|agir|368.884419434401
agissait|agissait|508.164443909034
agit|agit|982.24760312865
agitation|agitation|134.414539702806
agneau|agneau|104.265584425847
agonie|agonie|98.18647451023826
agréable|agreable|394.7723378971703
ah|ah|4803.73580497549
ai|ai|55647.579879315
aide|aide|1991.1837885345699
aider|aider|2329.98743523388
aidera|aidera|124.222895082756
aides|aides|154.853191614776
aidez|aidez|369.87649465975
aidé|aide|276.894147176585
aie|aie|714.3993314839161
aient|aient|278.0500922455359
aies|aies|262.859150966964
aiguille|aiguille|162.01390298706175
aiguilles|aiguilles|118.2690556320808
aile|aile|194.694344211042
ailes|ailes|320.587149040868
aille|aille|695.004811543821
ailleurs|ailleurs|2604.951873866
aimable|aimable|255.711112760021
aimaient|aimaient|124.029793100482
aimais|aimais|632.85962722401
aimait|aimait|977.625555039996
aime|aime|5550.26174236125
aiment|aiment|414.624462782386
aimer|aimer|960.665340557671
aimerais|aimerais|1451.80453279131
aimerait|aimerait|187.622092124611
aimes|aimes|1079.19387330922
aimez|aimez|443.673308853192
aimons|aimons|97.8617750828964
aimé|aime|879.511080598044
aimée|aimee|191.5267001881978
ainsi|ainsi|3713.74821197917
air|air|6227.06544799392
airs|airs|227.454881477958
aise|aise|471.07250965179935
ait|ait|1769.287255328611
ajouta|ajouta|467.313448797138
ajoutait|ajoutait|125.443729037347
ajoute|ajoute|207.29617548020286
ajouter|ajouter|270.396784422841
ajouté|ajoute|132.2309848279426
alarme|alarme|129.647326903945
album|album|124.426480326988
alcool|alcool|439.479874698226
alerte|alerte|253.95091178418508
alla|alla|395.516523017843
allai|allai|109.712865393133
allaient|allaient|533.83188473201
allais|allais|1097.09449037187
allait|allait|2755.9029668709
allant|allant|224.18735706418698
allemand|allemand|500.50879254234997
allemande|allemande|216.416363150132
allemands|allemands|659.5718775296621
aller|aller|6654.497364077296
allez|allez|8649.468841709127
alliance|alliance|206.089827428791
alliez|alliez|108.998022308415
allions|allions|176.933829207856
alliés|allies|363.3073169525178
allo|allo|183.282185186727
allonge|allonge|125.68903447079539
allonger|allonger|121.439961836952
allongé|allonge|174.04956612693132
allongée|allongee|110.25911473890841
allons|allons|3467.22059935576
alluma|alluma|131.955245874823
allume|allume|207.609651186393
allumer|allumer|179.527312088086
allumettes|allumettes|122.857159955844
allumé|allume|153.51573851429853
allure|allure|367.540627084668
allusion|allusion|148.237421515553
allé|alle|992.917913640325
allée|allee|680.491334557372
allées|allees|185.94870360651942
allés|alles|239.628697901146
allô|allo|717.971482900911
alors|alors|15454.8274503573
amant|amant|384.201722661623
amants|amants|189.751962629911
amateur|amateur|109.6401686089712
amateurs|amateurs|99.44669204601121
ambassade|ambassade|121.998711502393
ambassadeur|ambassadeur|206.873932269968
ambiance|ambiance|128.591805301196
ambition|ambition|149.710493907394
ambulance|ambulance|193.642806044438
amen|amen|145.4233265600046
amener|amener|295.698373242776
amenez|amenez|125.66657475937
amené|amene|319.657465516569
amer|amer|102.62718741304333
amertume|amertume|129.824634910329
ami|ami|2911.3351800867517
amie|amie|982.4724344341853
amies|amies|248.22366569760823
amiral|amiral|160.6646708210376
amis|amis|2422.638841668604
amitié|amitie|549.005645538894
amour|amour|4527.11571311655
amoureuse|amoureuse|391.70457426525377
amoureux|amoureux|700.1159527736179
amours|amours|209.08068731545
amusait|amusait|125.116322772374
amusant|amusant|245.9172153759975
amuse|amuse|355.678498168078
amuser|amuser|379.910233122687
amusé|amuse|105.070923059206
amène|amene|412.7991686010374
américain|americain|470.674743210698
américaine|americaine|251.0943369751505
américaines|americaines|100.45941424494961
américains|americains|450.129883927666
an|an|1238.02634308614
analyse|analyse|145.3573461906489
ancien|ancien|614.761880999618
ancienne|ancienne|369.74122105973953
anciennes|anciennes|148.74161191671152
anciens|anciens|419.973848942257
ancêtres|ancetres|148.684326609721
ange|ange|382.314801776662
anges|anges|232.101196682704
anglais|anglais|978.6644008361801
anglaise|anglaise|195.7066961803825
angle|angle|320.318828551598
angoisse|angoisse|438.43012473121496
animal|animal|513.0828971294718
animaux|animaux|456.6440691926228
anneau|anneau|149.099687495427
anniversaire|anniversaire|607.9128763390061
annonce|annonce|373.087966621727
annoncer|annoncer|244.459739576127
annoncé|annonce|136.238939784359
annonça|annonca|131.033874914171
annonçait|annoncait|125.853286813117
année|annee|1420.40580643317
années|annees|2377.74287770413
anonyme|anonyme|103.8135974758628
ans|ans|7291.20257440998
antique|antique|104.0445898518094
août|aout|341.485194097551
apercevait|apercevait|144.888300935381
apercevoir|apercevoir|226.583211450722
aperçois|apercois|102.375389089737
aperçoit|apercoit|136.771431417028
aperçu|apercu|215.0332501676103
aperçus|apercus|103.7028321191837
aperçut|apercut|253.024076468997
apparaissait|apparaissait|154.092644904694
apparaît|apparait|214.135634721973
apparaître|apparaitre|168.579979088822
appareil|appareil|439.960494699168
apparemment|apparemment|399.037173032708
apparence|apparence|253.127608476625
apparences|apparences|109.566380341093
apparition|apparition|194.982047344507
appart|appart|107.066470076732
appartement|appartement|855.225846388671
appartements|appartements|108.611313678742
appartenait|appartenait|181.377083038569
appartient|appartient|336.567135644953
apparut|apparut|165.023455737995
appel|appel|756.003966443121
appela|appela|141.967411790178
appelaient|appelaient|107.112519393449
appelait|appelait|833.834298512661
appeler|appeler|1411.80670689313
appelez|appelez|590.383870646012
appelle|appelle|3401.64474896865
appellent|appellent|219.283803719843
appellerai|appellerai|133.733966869257
appelles|appelles|417.374032145939
appels|appels|198.090586386572
appelé|appele|993.0359630253286
appelée|appelee|201.474532562309
apporta|apporta|97.173401286778
apportait|apportait|153.903915793239
apporte|apporte|489.294798151051
apporter|apporter|351.363036525131
apportez|apportez|111.210580463832
apporté|apporte|434.284781488918
apprend|apprend|243.324102725365
apprendre|apprendre|950.59894719748
apprends|apprends|197.424869685799
appris|appris|1208.9657056806595
apprit|apprit|128.333444203685
approcha|approcha|239.683985355503
approchait|approchait|166.965707820631
approche|approche|687.347111645232
approcher|approcher|301.15055095108
approchez|approchez|166.241256368675
apprécie|apprecie|218.67826427849
apprécier|apprecier|125.277140086991
appui|appui|199.942362125643
appuie|appuie|166.111057688528
appuya|appuya|98.2910857324601
appuyer|appuyer|144.143899225712
appuyé|appuye|159.1976442691562
appétit|appetit|244.113474537156
après|apres|9587.76681301351
après-demain|apresdemain|101.864112044175
arabe|arabe|245.45614392897602
arabes|arabes|199.7641477503407
araignée|araignee|134.935252269927
arbre|arbre|639.194174810503
arbres|arbres|952.494742926437
arc|arc|101.800672602728
archives|archives|97.50481019297277
ardeur|ardeur|158.045485252431
argent|argent|3987.9442917191427
arme|arme|858.5742702529675
armes|armes|993.5172797421454
armoire|armoire|261.008442173366
armé|arme|178.04539099327718
armée|armee|1274.1240314197175
armées|armees|265.5572328002941
armés|armes|137.2783094507422
arrache|arrache|156.219635726686
arracher|arracher|282.613924120039
arraché|arrache|138.8558079500068
arrange|arrange|193.002294302872
arranger|arranger|368.328912745911
arrangé|arrange|154.871144019856
